date+survey,date+reported,adm0+name,adm0+pcode,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,80,16,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,80,16,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,480,96,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,85,17,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,280,56,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,310,62,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,210,42,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,70,14,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,90,18,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,305,61,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,90,18,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,160,32,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,450,90,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,110,22,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,280,56,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,290,58,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,640,128,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,205,41,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,17,9,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,685,152,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,15,3,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,85,17,Khartoum,SD01,SD01002,Um Bada
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,65,13,Khartoum,SD01,SD01002,Um Bada
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,90,18,Khartoum,SD01,SD01002,Um Bada
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,180,36,Khartoum,SD01,SD01002,Um Bada
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,160,32,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,120,24,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,505,101,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,85,17,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,495,99,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,20,5,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,139,28,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,110,21,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,55,11,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,135,27,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,430,86,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,332,50,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,430,86,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,420,84,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,250,50,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,115,23,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01006,Um Durman
