adm1+name,adm1+pcode,adm2+name,adm2+pcode,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+name,adm2+origin+pcode
North Kordofan,SD13,Sheikan,SD13024,344,69,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,109,21,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,151,33,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,153,35,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,144,47,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,140,27,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,213,40,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,155,30,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,160,33,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,157,29,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,102,21,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,146,27,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,66,13,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Sheikan,SD13024,80,15,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,175,35,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,40,9,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,93,18,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,72,15,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,148,28,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,56,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,132,25,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,76,17,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,81,16,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,102,21,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,66,14,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,69,17,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,47,10,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,53,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,37,7,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,44,9,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,28,6,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,73,14,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,111,25,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,108,19,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,68,14,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,59,12,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,96,18,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,77,15,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,63,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,66,13,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,140,37,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,115,23,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,57,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,214,42,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,109,21,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,355,63,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,168,32,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,84,16,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,368,59,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,50,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,605,103,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,144,29,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,344,65,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,155,32,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,111,21,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Rawaba,SD13023,27,5,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Um Rawaba,SD13023,59,11,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,126,18,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,11,2,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,21,4,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,20,6,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,95,13,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,70,13,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,51,12,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,105,30,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,30,6,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,304,50,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,112,25,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,56,10,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,64,10,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,235,45,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,106,15,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,203,50,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,83,19,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,196,31,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,308,50,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,107,16,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Gharb Bara,SD13029,320,40,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,106,19,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,33,7,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,53,11,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,77,15,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,66,13,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,123,22,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,38,8,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,55,12,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,27,5,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Bara,SD13026,38,7,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,58,11,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,66,17,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,45,5,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,55,12,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,73,15,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,69,15,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Bara,SD13026,37,7,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Bara,SD13026,103,21,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,2800,560,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,570,114,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,2000,400,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,388,60,North Kordofan,SD13,Sheikan,SD13024
Khartoum,SD01,Jebel Awlia,SD01001,7500,1500,Khartoum,SD01,"Um Bada, Um Durman, Khartoum","SD01002, SD01006, SD01007"
Khartoum,SD01,Um Durman,SD01006,3750,750,Khartoum,SD01,"Karrari, Um Durman","SD01005, SD01006"
Khartoum,SD01,Bahri,SD01003,3530,706,Khartoum,SD01,"Sharg An Neel, Bahri, Karrari, Um Durman","SD01004, SD01003, SD01005, SD01006"
Khartoum,SD01,Sharg An Neel,SD01004,2750,550,Khartoum,SD01,"Sharg An Neel, Bahri, Karrari","SD01004, SD01003, SD01005"
Khartoum,SD01,Khartoum,SD01007,4000,800,Khartoum,SD01,Jebel Awlia; Sharg An Neel,"SD01001, SD01004"
Khartoum,SD01,Um Bada,SD01002,850,170,Khartoum,SD01,"Karrari, Um Durman","SD01005, SD01006"
Khartoum,SD01,Karrari,SD01005,595,119,Khartoum,SD01,"Bahri, Um Durman","SD01003, SD01006"
Aj Jazirah,SD15,Medani Al Kubra,SD15030,10000,2000,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Al Manaqil,SD15036,7500,1500,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Al Kamlin,SD15035,4325,865,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Al Kamlin,SD15035,350,70,Aj Jazirah,SD15,Al Kamlin,SD15035
Aj Jazirah,SD15,Al Hasahisa,SD15034,6000,1200,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,3560,712,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,5455,1091,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Um Algura,SD15032,10530,2106,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Aj Jazirah,SD15,Al Qurashi,SD15037,1560,312,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Atbara,SD16012,25550,5110,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Shendi,SD16010,55000,11000,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Al Matama,SD16009,7500,1500,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Barbar,SD16013,4290,858,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Abu Hamad,SD16008,2565,513,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
River Nile,SD16,Ad Damar,SD16011,1190,238,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,Sennar,SD14038,5785,1157,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,Abu Hujar,SD14037,1705,341,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,2275,455,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,As Suki,SD14041,2800,560,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,Sinja,SD14043,1750,350,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Sennar,SD14,Ad Dinder,SD14040,5920,1184,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Merwoe,SD17020,26000,5200,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Ad Dabbah,SD17019,16500,3300,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Dongola,SD17017,3410,3410,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Delgo,SD17015,30000,6000,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Al Golid,SD17018,7500,1500,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Halfa,SD17014,10750,2150,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
Northern,SD17,Al Burgaig,SD17016,12440,2488,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
White Nile,SD09,Kosti,SD09047,3250,650,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
White Nile,SD09,Kosti,SD09047,0,0,Khartoum,SD01,"Bahri, Jebel Awlia, Khartoum, Um Durman","SD01003, SD01001, SD01007, SD01006"
