adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
North Darfur,SD02,SD02114,Al Fasher,5000,1000,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02113,Dar As Salam,1520,304,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02113,Dar As Salam,1270,254,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02116,Al Koma,700,140,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02129,Melit,1450,290,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02129,Melit,145,29,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02124,Kebkabiya,1250,250,North Darfur,SD02,SD02124,Kebkabiya
North Darfur,SD02,SD02170,Tawila,3660,732,North Darfur,SD02,SD02170,Tawila
North Darfur,SD02,SD02128,Kutum,40,8,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02136,Um Kadadah,600,120,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02118,As Serief,925,185,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02117,Al Malha,1750,350,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02133,Saraf Omra,1000,200,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02133,Saraf Omra,450,90,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02133,Saraf Omra,1000,200,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02133,Saraf Omra,750,150,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
North Darfur,SD02,SD02126,Kelemando,135,27,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,75,15,Khartoum,SD01,SD01006,Um Durman
North Darfur,SD02,SD02126,Kelemando,60,12,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,45,9,North Darfur,SD02,SD02114,Al Fasher
