date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,175,35,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,180,35,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,145,28,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,135,25,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,246,47,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,155,33,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,232,45,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,114,23,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,110,25,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,433,73,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,134,24,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,121,20,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,98,20,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,132,23,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,190,34,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,44,9,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,28,6,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,185,35,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,203,40,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,22,5,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,23,7,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,32,6,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,40,7,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,100,20,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,13,3,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,389,65,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,114,20,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,56,12,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,416,68,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,165,30,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,164,31,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,255,52,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,170,35,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,107,21,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,78,14,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,142,27,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,106,21,Khartoum,SD01,SD01007,Khartoum
