date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,65,13,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,60,12,Khartoum,SD01,SD01002,Um Bada
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,250,50,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,200,40,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,125,25,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,260,52,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,150,30,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,85,17,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,50,10,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,235,47,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,200,40,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,255,51,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,150,30,Khartoum,SD01,SD01002,Um Bada
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,90,18,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,60,12,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,50,10,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,45,9,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,260,52,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,250,50,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,225,45,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,400,80,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,450,90,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,400,80,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,350,70,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,200,40,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,150,30,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,125,40,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,125,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,150,30,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,500,100,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,400,80,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,375,75,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,250,50,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,225,45,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,50,10,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,55,11,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,55,11,Khartoum,SD01,SD01002,Um Bada
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,185,37,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,150,30,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,275,55,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,175,35,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,40,8,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,35,7,Khartoum,SD01,SD01002,Um Bada
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,175,35,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,80,16,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,610,122,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,525,105,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,465,93,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,400,80,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,50,10,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,45,9,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,25,5,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,165,33,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,50,10,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,60,12,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,75,15,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,275,55,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,125,25,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,225,45,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,75,15,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,145,29,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,160,32,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,85,17,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,130,26,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,185,37,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,175,35,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,35,7,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,145,29,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,90,18,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,275,55,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,170,34,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,110,22,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,160,32,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,140,28,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,160,32,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,125,25,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,160,32,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,115,23,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,325,65,Gazera,SD15,SD15035,Al Kamlin
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Gazera,SD15,SD15035,Al Kamlin
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,190,38,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,115,23,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,85,17,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,225,45,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,125,25,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,125,25,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,150,30,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,315,63,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,310,62,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,340,68,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,370,74,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,355,71,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,325,65,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,350,70,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,305,61,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,305,61,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,360,72,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,310,62,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,380,76,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,330,66,Khartoum,SD01,SD01002,Um Bada
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,200,40,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,175,35,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,360,72,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,325,65,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,315,63,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,340,68,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,320,64,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,340,68,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,320,64,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,335,67,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,315,63,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,390,78,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,370,74,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,175,35,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,125,25,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,325,65,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,320,64,Khartoum,SD01,SD01004,Sharg An Neel
