date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-14 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,2085,417,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,280,56,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,500,100,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,1890,378,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-14 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,450,90,Khartoum,SD01,SD01002,Um Bada
2023-06-14 00:00:00,Khartoum,SD01,SD01002,Um Bada,1000,200,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01002,Um Bada,750,150,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01002,Um Bada,500,100,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,Khartoum,SD01,SD01003,Bahri,3000,600,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01003,Bahri,200,40,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,200,40,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,1965,393,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,150,30,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,400,80,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-14 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,800,160,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-14 00:00:00,Khartoum,SD01,SD01005,Karrari,500,100,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01005,Karrari,425,85,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01005,Karrari,400,80,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,Khartoum,SD01,SD01005,Karrari,350,70,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-14 00:00:00,Khartoum,SD01,SD01006,Um Durman,1500,300,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,Khartoum,SD01,SD01006,Um Durman,1435,287,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01006,Um Durman,250,50,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-14 00:00:00,Khartoum,SD01,SD01007,Khartoum,650,130,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,Khartoum,SD01,SD01007,Khartoum,400,80,Khartoum,SD01,SD01003,Bahri
2023-06-14 00:00:00,Khartoum,SD01,SD01007,Khartoum,1000,200,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-14 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,1615,323,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,250,50,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,1425,285,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,5000,1000,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,250,50,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,1085,217,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,265,53,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,345,69,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,605,121,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02114,Al Fasher,200,40,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02116,Al Koma,600,120,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02116,Al Koma,700,140,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02117,Al Malha,2500,500,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02118,As Serief,1140,228,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02119,At Tawisha,350,70,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02124,Kebkabiya,1250,250,North Darfur,SD02,SD02124,Kebkabiya
2023-06-14 00:00:00,North Darfur,SD02,SD02124,Kebkabiya,1000,200,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,900,180,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,1240,248,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,135,27,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,75,15,Khartoum,SD01,SD01006,Um Durman
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,60,12,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,45,9,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,150,30,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,900,180,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,225,45,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,525,105,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02126,Kelemando,90,18,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02128,Kutum,40,8,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02128,Kutum,25000,5000,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02128,Kutum,15000,3000,North Darfur,SD02,SD02128,Kutum
2023-06-14 00:00:00,North Darfur,SD02,SD02129,Melit,3700,740,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02129,Melit,145,29,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,1000,200,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,450,90,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,1000,200,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,750,150,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,North Darfur,SD02,SD02136,Um Kadadah,600,120,North Darfur,SD02,SD02114,Al Fasher
