date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
2023-08-23 00:00:00,South Darfur,SD03,SD03167,Nyala Janoub,117175,23435
2023-08-23 00:00:00,Central Darfur,SD06,SD06132,Shamal Jabal Marrah,64875,12975
2023-08-23 00:00:00,East Darfur,SD05,SD05148,Shia'ria,64180,12836
2023-08-23 00:00:00,East Darfur,SD05,SD05165,Yassin,63085,12617
2023-08-23 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,58130,11626
2023-08-23 00:00:00,East Darfur,SD05,SD05160,Bahr Al Arab,49420,9884
2023-08-23 00:00:00,Central Darfur,SD06,SD06110,Azum,49000,9800
2023-08-23 00:00:00,South Darfur,SD03,SD03162,Beliel,45250,9050
2023-08-23 00:00:00,East Darfur,SD05,SD05139,Adila,44625,8925
2023-08-02 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,44160,8832
2023-08-23 00:00:00,North Darfur,SD02,SD02170,Tawila,42240,8448
2023-08-23 00:00:00,East Darfur,SD05,SD05140,Abu Jabrah,40110,8022
2023-08-23 00:00:00,Central Darfur,SD06,SD06138,Zalingi,40050,8010
2023-05-19 00:00:00,White Nile,SD09,SD09049,As Salam / Ar Rawat,39750,7950
2023-08-23 00:00:00,South Darfur,SD03,SD03144,Kas,36750,7350
2023-08-23 00:00:00,East Darfur,SD05,SD05152,Al Firdous,33750,6750
2023-08-23 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,33350,6670
2023-08-23 00:00:00,East Darfur,SD05,SD05155,Abu Karinka,31050,6210
2023-08-23 00:00:00,West Darfur,SD04,SD04127,Kulbus,27560,5512
2023-08-23 00:00:00,North Darfur,SD02,SD02114,Al Fasher,26035,5187
2023-08-23 00:00:00,Central Darfur,SD06,SD06138,Zalingi,25050,5010
2023-08-23 00:00:00,North Darfur,SD02,SD02128,Kutum,23500,4700
2023-08-23 00:00:00,North Darfur,SD02,SD02128,Kutum,22540,4508
2023-08-23 00:00:00,South Darfur,SD03,SD03162,Beliel,22500,4500
2023-08-23 00:00:00,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,21000,4200
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,18850,3770
2023-08-23 00:00:00,South Darfur,SD03,SD03162,Beliel,16500,3300
2023-08-23 00:00:00,North Darfur,SD02,SD02114,Al Fasher,15505,3081
2023-08-23 00:00:00,West Darfur,SD04,SD04123,Jebel Moon,15265,3053
2023-08-23 00:00:00,Central Darfur,SD06,SD06138,Zalingi,15075,3015
2023-08-23 00:00:00,Central Darfur,SD06,SD06138,Zalingi,15075,3015
2023-08-23 00:00:00,North Darfur,SD02,SD02114,Al Fasher,14765,2953
2023-07-19 00:00:00,River Nile,SD16,SD16011,Ad Damar,14645,2929
2023-08-23 00:00:00,South Darfur,SD03,SD03161,Buram,14000,2800
2023-07-19 00:00:00,Northern,SD17,SD17019,Ad Dabbah,13925,2785
2023-07-12 00:00:00,Sennar,SD14,SD14039,Ad Dali,12735,2547
2023-08-23 00:00:00,West Darfur,SD04,SD04123,Jebel Moon,12520,2504
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,12500,2500
2023-08-23 00:00:00,North Darfur,SD02,SD02114,Al Fasher,10905,2181
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,10855,2171
2023-08-23 00:00:00,South Kordofan,SD07,SD07097,Ar Reif Ash Shargi,10600,2100
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,10580,2116
2023-08-23 00:00:00,South Kordofan,SD07,SD07098,Kadugli,10430,2086
2023-08-23 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,10250,2050
2023-08-23 00:00:00,South Kordofan,SD07,SD07098,Kadugli,10000,2000
2023-08-23 00:00:00,Red Sea,SD10,SD10064,Port Sudan,9850,1970
2023-08-23 00:00:00,Gedaref,SD12,SD12082,Al Mafaza,9735,1947
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,9575,1915
2023-07-19 00:00:00,Khartoum,SD01,SD01005,Karrari,9365,1873
2023-07-19 00:00:00,River Nile,SD16,SD16014,Al Buhaira,9225,1845
2023-08-23 00:00:00,River Nile,SD16,SD16012,Atbara,9210,1842
2023-08-23 00:00:00,Red Sea,SD10,SD10064,Port Sudan,9170,1834
2023-08-09 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,9000,1800
2023-08-23 00:00:00,South Darfur,SD03,SD03145,Mershing,8900,1780
2023-08-16 00:00:00,Kassala,SD11,SD11052,Halfa Aj Jadeedah,8790,1758
2023-08-23 00:00:00,Blue Nile,SD08,SD08107,Ar Rusayris,8780,1756
2023-08-23 00:00:00,Khartoum,SD01,SD01004,Sharg An Neel,8650,1730
2023-08-23 00:00:00,North Darfur,SD02,SD02128,Kutum,8500,1700
2023-08-23 00:00:00,North Darfur,SD02,SD02128,Kutum,8500,1700
2023-08-09 00:00:00,Sennar,SD14,SD14042,Sharg Sennar,8370,1654
2023-08-16 00:00:00,Gedaref,SD12,SD12075,Al Fashaga,8355,1671
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,8280,1656
2023-08-23 00:00:00,South Darfur,SD03,SD03167,Nyala Janoub,8165,1633
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,8115,1623
2023-07-19 00:00:00,River Nile,SD16,SD16011,Ad Damar,8110,1622
2023-08-23 00:00:00,North Darfur,SD02,SD02124,Kebkabiya,8000,1600
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,7849,1570
2023-08-23 00:00:00,North Darfur,SD02,SD02170,Tawila,7750,1550
2023-08-16 00:00:00,River Nile,SD16,SD16013,Barbar,7680,1536
2023-08-23 00:00:00,Red Sea,SD10,SD10064,Port Sudan,7575,1515
2023-08-23 00:00:00,Gedaref,SD12,SD12076,Al Qureisha,7565,1513
2023-08-16 00:00:00,River Nile,SD16,SD16012,Atbara,7530,1506
2023-08-16 00:00:00,River Nile,SD16,SD16013,Barbar,7500,1500
2023-08-16 00:00:00,Sennar,SD14,SD14038,Sennar,7500,1500
2023-07-19 00:00:00,Khartoum,SD01,SD01001,Jebel Awlia,7380,1476
2023-08-23 00:00:00,Gedaref,SD12,SD12081,Wasat Al Gedaref,7285,1457
2023-07-19 00:00:00,Northern,SD17,SD17019,Ad Dabbah,7275,1455
2023-08-09 00:00:00,South Darfur,SD03,SD03150,Al Wihda,7100,1420
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,7030,1386
2023-08-09 00:00:00,South Darfur,SD03,SD03162,Beliel,7000,1400
2023-07-19 00:00:00,River Nile,SD16,SD16013,Barbar,6970,1394
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,6840,1368
2023-07-19 00:00:00,River Nile,SD16,SD16011,Ad Damar,6770,1354
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,6755,1351
2023-07-19 00:00:00,River Nile,SD16,SD16013,Barbar,6745,1349
