adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+hh,affected+idps+ind
Aj Jazirah,SD15,Al Hasahisa,SD15034,12808,67139
Aj Jazirah,SD15,Al Kamlin,SD15035,16070,80735
Aj Jazirah,SD15,Al Manaqil,SD15036,6333,31576
Aj Jazirah,SD15,Al Qurashi,SD15037,2313,11577
Aj Jazirah,SD15,Janub Aj Jazirah,SD15031,6866,34427
Aj Jazirah,SD15,Medani Al Kubra,SD15030,16470,84060
Aj Jazirah,SD15,Sharg Aj Jazirah,SD15033,3115,15662
Aj Jazirah,SD15,Um Algura,SD15032,8323,41947
Blue Nile,SD08,Al Kurmuk,SD08106,52,260
Blue Nile,SD08,Ar Rusayris,SD08107,3334,16670
Blue Nile,SD08,At Tadamon - BN,SD08108,223,1114
Blue Nile,SD08,Ed Damazine,SD08105,6706,33697
Blue Nile,SD08,Geisan,SD08109,148,740
Blue Nile,SD08,Wad Al Mahi,SD08110,192,960
Central Darfur,SD06,Azum,SD06110,9800,49000
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,1200,6000
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,13557,67785
Central Darfur,SD06,Um Dukhun,SD06135,7980,39900
Central Darfur,SD06,Wadi Salih,SD06137,306,1530
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,1500,7500
Central Darfur,SD06,Zalingi,SD06138,24115,120575
East Darfur,SD05,Abu Jabrah,SD05140,8572,42860
East Darfur,SD05,Abu Karinka,SD05155,6312,31560
East Darfur,SD05,Ad Du'ayn,SD05142,21215,106075
East Darfur,SD05,Adila,SD05139,9425,47125
East Darfur,SD05,Al Firdous,SD05152,7150,35750
East Darfur,SD05,Assalaya,SD05163,765,3825
East Darfur,SD05,Bahr Al Arab,SD05160,10264,51420
East Darfur,SD05,Shia'ria,SD05148,21843,109215
East Darfur,SD05,Yassin,SD05165,14637,73185
Gedaref,SD12,Al Butanah,SD12073,734,3670
Gedaref,SD12,Al Fao,SD12074,2608,13359
Gedaref,SD12,Al Fashaga,SD12075,2470,12618
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078,2139,10695
Gedaref,SD12,Al Mafaza,SD12082,3560,17800
Gedaref,SD12,Al Qureisha,SD12076,3694,18470
Gedaref,SD12,AR Rahad GR,SD12084,6400,32000
Gedaref,SD12,Basundah,SD12077,2717,13605
Gedaref,SD12,Gala'a Al Nahal,SD12079,2440,12202
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,7730,38650
Gedaref,SD12,Madeinat Al Gedaref,SD12080,15022,75079
Gedaref,SD12,Wasat Al Gedaref,SD12081,3645,18361
Kassala,SD11,Halfa Aj Jadeedah,SD11052,8467,42335
Kassala,SD11,Madeinat Kassala,SD11053,9459,47267
Kassala,SD11,Reifi Aroma,SD11055,138,690
Kassala,SD11,Reifi Kassla,SD11056,504,2545
Kassala,SD11,Reifi Khashm Elgirba,SD11060,1613,8069
Kassala,SD11,Reifi Nahr Atbara,SD11062,474,2391
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,384,1915
Kassala,SD11,Reifi Telkok,SD11059,171,855
Khartoum,SD01,Bahri,SD01003,1571,7855
Khartoum,SD01,Jebel Awlia,SD01001,1892,9475
Khartoum,SD01,Karrari,SD01005,1873,9365
Khartoum,SD01,Khartoum,SD01007,1017,5085
Khartoum,SD01,Sharg An Neel,SD01004,2597,13085
Khartoum,SD01,Um Bada,SD01002,1005,5025
Khartoum,SD01,Um Durman,SD01006,2537,12685
North Darfur,SD02,Al Fasher,SD02114,20210,101603
North Darfur,SD02,Al Koma,SD02116,383,1915
