adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,SD15030,Medani Al Kubra,84060,16470
Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,34427,6866
Aj Jazirah,SD15,SD15032,Um Algura,41887,8311
Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,15662,3115
Aj Jazirah,SD15,SD15034,Al Hasahisa,67124,12805
Aj Jazirah,SD15,SD15035,Al Kamlin,80750,16073
Aj Jazirah,SD15,SD15036,Al Manaqil,31576,6333
Aj Jazirah,SD15,SD15037,Al Qurashi,11377,2273
Blue Nile,SD08,SD08105,Ed Damazine,33743,6720
Blue Nile,SD08,SD08106,Al Kurmuk,260,52
Blue Nile,SD08,SD08107,Ar Rusayris,16670,3334
Blue Nile,SD08,SD08108,At Tadamon - BN,1114,223
Blue Nile,SD08,SD08109,Geisan,740,148
Blue Nile,SD08,SD08110,Wad Al Mahi,960,192
Central Darfur,SD06,SD06110,Azum,49000,9800
Central Darfur,SD06,SD06131,Gharb Jabal Marrah,6000,1200
Central Darfur,SD06,SD06132,Shamal Jabal Marrah,67785,13557
Central Darfur,SD06,SD06135,Um Dukhun,39900,7980
Central Darfur,SD06,SD06137,Wadi Salih,1530,306
Central Darfur,SD06,SD06138,Zalingi,122325,24465
Central Darfur,SD06,SD06139,Wasat Jabal Marrah,7500,1500
East Darfur,SD05,SD05139,Adila,47125,9425
East Darfur,SD05,SD05140,Abu Jabrah,42860,8572
East Darfur,SD05,SD05142,Ad Du'ayn,106275,21255
East Darfur,SD05,SD05148,Shia'ria,109215,21843
East Darfur,SD05,SD05152,Al Firdous,35750,7150
East Darfur,SD05,SD05155,Abu Karinka,31560,6312
East Darfur,SD05,SD05160,Bahr Al Arab,51420,10264
East Darfur,SD05,SD05163,Assalaya,3825,765
East Darfur,SD05,SD05165,Yassin,73185,14637
Gedaref,SD12,SD12073,Al Butanah,3745,749
Gedaref,SD12,SD12074,Al Fao,13359,2608
Gedaref,SD12,SD12075,Al Fashaga,12618,2470
Gedaref,SD12,SD12076,Al Qureisha,17945,3589
Gedaref,SD12,SD12077,Basundah,13705,2737
Gedaref,SD12,SD12078,Al Galabat Al Gharbyah - Kassab,11490,2298
Gedaref,SD12,SD12079,Gala'a Al Nahal,12202,2440
Gedaref,SD12,SD12080,Madeinat Al Gedaref,75079,15022
Gedaref,SD12,SD12081,Wasat Al Gedaref,18361,3645
Gedaref,SD12,SD12082,Al Mafaza,17800,3560
Gedaref,SD12,SD12083,Galabat Ash-Shargiah,38650,7730
Gedaref,SD12,SD12084,AR Rahad GR,32870,6574
Kassala,SD11,SD11052,Halfa Aj Jadeedah,42335,8467
Kassala,SD11,SD11053,Madeinat Kassala,47817,9569
Kassala,SD11,SD11055,Reifi Aroma,690,138
Kassala,SD11,SD11056,Reifi Kassla,2545,504
Kassala,SD11,SD11057,Reifi Shamal Ad Delta,1915,384
Kassala,SD11,SD11059,Reifi Telkok,855,171
Kassala,SD11,SD11060,Reifi Khashm Elgirba,8069,1613
Kassala,SD11,SD11062,Reifi Nahr Atbara,2391,474
Khartoum,SD01,SD01001,Jebel Awlia,9840,1968
Khartoum,SD01,SD01002,Um Bada,5025,1005
Khartoum,SD01,SD01003,Bahri,8155,1631
Khartoum,SD01,SD01004,Sharg An Neel,13210,2642
Khartoum,SD01,SD01005,Karrari,9365,1873
Khartoum,SD01,SD01006,Um Durman,12685,2537
Khartoum,SD01,SD01007,Khartoum,5085,1017
North Darfur,SD02,SD02113,Dar As Salam,10260,2052
North Darfur,SD02,SD02114,Al Fasher,102688,20427
North Darfur,SD02,SD02116,Al Koma,1915,383
North Darfur,SD02,SD02117,Al Malha,3990,798
North Darfur,SD02,SD02118,As Serief,2200,440
North Darfur,SD02,SD02119,At Tawisha,350,70
North Darfur,SD02,SD02120,Um Baru,515,103
North Darfur,SD02,SD02124,Kebkabiya,11485,2297
North Darfur,SD02,SD02126,Kelemando,7900,1580
North Darfur,SD02,SD02128,Kutum,76540,15308
North Darfur,SD02,SD02129,Melit,7250,1450
North Darfur,SD02,SD02133,Saraf Omra,12725,2545
North Darfur,SD02,SD02136,Um Kadadah,750,150
North Darfur,SD02,SD02168,Kernoi,600,120
North Darfur,SD02,SD02169,Al lait,5530,1086
North Darfur,SD02,SD02170,Tawila,92270,18454
North Kordofan,SD13,SD13023,Um Rawaba,21369,4077
North Kordofan,SD13,SD13024,Sheikan,17283,3274
North Kordofan,SD13,SD13025,Soudari,2142,388
North Kordofan,SD13,SD13026,Bara,11318,2417
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,5258,1121
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,9039,1738
