adm1+name,adm1+pcode,adm2+name,adm2+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,Al Hasahisa,SD15034,91153,16501
Aj Jazirah,SD15,Al Kamlin,SD15035,85126,16943
Aj Jazirah,SD15,Al Manaqil,SD15036,31707,6371
Aj Jazirah,SD15,Al Qurashi,SD15037,11409,2278
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,40218,7842
Aj Jazirah,SD15,Medani Al Kubra,SD15030,87468,17040
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,17010,3386
Aj Jazirah,SD15,Um Algura,SD15032,42845,8474
Blue Nile,SD08,Al Kurmuk,SD08106,260,52
Blue Nile,SD08,Ar Rusayris,SD08107,16870,3374
Blue Nile,SD08,At Tadamon - BN,SD08108,1129,226
Blue Nile,SD08,Ed Damazine,SD08105,34457,6879
Blue Nile,SD08,Geisan,SD08109,740,148
Blue Nile,SD08,Wad Al Mahi,SD08110,1345,269
Central Darfur,SD06,Azum,SD06110,49000,9800
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,16500,3300
Central Darfur,SD06,Mukjar,SD06130,475,95
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,67785,13557
Central Darfur,SD06,Um Dukhun,SD06135,40650,8130
Central Darfur,SD06,Wadi Salih,SD06137,4030,806
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,19000,3800
Central Darfur,SD06,Zalingi,SD06138,99125,19825
East Darfur,SD05,Abu Jabrah,SD05140,42860,8572
East Darfur,SD05,Abu Karinka,SD05155,31585,6317
East Darfur,SD05,Ad Du'ayn,SD05142,106775,21355
East Darfur,SD05,Adila,SD05139,47125,9425
East Darfur,SD05,Al Firdous,SD05152,35800,7160
East Darfur,SD05,Assalaya,SD05163,3925,785
East Darfur,SD05,Bahr Al Arab,SD05160,51420,10264
East Darfur,SD05,Shia'ria,SD05148,144555,28911
East Darfur,SD05,Yassin,SD05165,74085,14817
Gedaref,SD12,Al Butanah,SD12073,3745,749
