adm1+name,adm1+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,423069,81865
Blue Nile,SD08,55122,11016
Central Darfur,SD06,297065,59413
East Darfur,SD05,538630,107706
Gedaref,SD12,274601,54694
Kassala,SD11,112627,22532
Khartoum,SD01,50498,9900
North Darfur,SD02,378708,75711
North Kordofan,SD13,110156,21573
Northern,SD17,365688,73545
Red Sea,SD10,127222,25455
River Nile,SD16,593888,118637
Sennar,SD14,337788,67441
South Darfur,SD03,590193,118037
South Kordofan,SD07,97626,19102
West Darfur,SD04,117405,23481
West Kordofan,SD18,62826,12212
White Nile,SD09,422426,83947
