adm1+name,adm1+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,436645,84599
Blue Nile,SD08,55457,11083
Central Darfur,SD06,307485,61497
East Darfur,SD05,538955,107771
Gedaref,SD12,275001,54774
Kassala,SD11,112687,22544
Khartoum,SD01,48273,9445
North Darfur,SD02,422863,84542
North Kordofan,SD13,113154,22138
Northern,SD17,361064,72574
Red Sea,SD10,128848,25787
River Nile,SD16,610582,121858
Sennar,SD14,339134,67709
South Darfur,SD03,625258,125050
South Kordofan,SD07,100507,19697
West Darfur,SD04,117780,23556
West Kordofan,SD18,73590,14491
White Nile,SD09,423586,83936
