adm1+name,adm1+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,472384,91729
Blue Nile,SD08,57137,11419
Central Darfur,SD06,355090,71018
East Darfur,SD05,603205,120621
Gedaref,SD12,278216,55417
Kassala,SD11,118607,23731
Khartoum,SD01,39188,7830
North Darfur,SD02,437538,87477
North Kordofan,SD13,120767,23642
Northern,SD17,357159,71951
Red Sea,SD10,124265,24866
River Nile,SD16,612093,122162
Sennar,SD14,348599,69622
South Darfur,SD03,684923,136983
South Kordofan,SD07,101903,19851
West Darfur,SD04,121110,24222
West Kordofan,SD18,74904,14753
White Nile,SD09,433775,85979
