adm1+name,adm1+pcode,adm2+name,adm2+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,Al Hasahisa,SD15034,91271,16535
Aj Jazirah,SD15,Al Kamlin,SD15035,85126,16943
Aj Jazirah,SD15,Al Manaqil,SD15036,37434,7485
Aj Jazirah,SD15,Al Qurashi,SD15037,28627,5599
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,40218,7842
Aj Jazirah,SD15,Medani Al Kubra,SD15030,86453,16848
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,60880,12097
Aj Jazirah,SD15,Um Algura,SD15032,42375,8380
Blue Nile,SD08,Al Kurmuk,SD08106,260,52
Blue Nile,SD08,Ar Rusayris,SD08107,18360,3672
Blue Nile,SD08,At Tadamon - BN,SD08108,1129,226
Blue Nile,SD08,Ed Damazine,SD08105,35303,7052
Blue Nile,SD08,Geisan,SD08109,740,148
Blue Nile,SD08,Wad Al Mahi,SD08110,1345,269
Central Darfur,SD06,Azum,SD06110,49000,9800
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,33000,6600
Central Darfur,SD06,Mukjar,SD06130,475,95
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,77805,15561
Central Darfur,SD06,Um Dukhun,SD06135,41150,8230
Central Darfur,SD06,Wadi Salih,SD06137,4030,806
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,19400,3880
Central Darfur,SD06,Zalingi,SD06138,130230,26046
East Darfur,SD05,Abu Jabrah,SD05140,42860,8572
East Darfur,SD05,Abu Karinka,SD05155,39085,7817
East Darfur,SD05,Ad Du'ayn,SD05142,121775,24355
East Darfur,SD05,Adila,SD05139,47125,9425
East Darfur,SD05,Al Firdous,SD05152,48300,9660
East Darfur,SD05,Assalaya,SD05163,17425,3485
East Darfur,SD05,Bahr Al Arab,SD05160,66920,13364
East Darfur,SD05,Shia'ria,SD05148,145430,29086
East Darfur,SD05,Yassin,SD05165,74285,14857
Gedaref,SD12,Al Butanah,SD12073,3745,749
Gedaref,SD12,Al Fao,SD12074,14976,2923
Gedaref,SD12,Al Fashaga,SD12075,12839,2470
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078,11525,2305
Gedaref,SD12,Al Mafaza,SD12082,20730,4146
Gedaref,SD12,Al Qureisha,SD12076,18520,3691
Gedaref,SD12,Ar Rahad,SD12084,33130,6626
Gedaref,SD12,Basundah,SD12077,14000,2794
Gedaref,SD12,Gala'a Al Nahal,SD12079,12202,2440
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,38650,7730
Gedaref,SD12,Madeinat Al Gedaref,SD12080,79419,15890
Gedaref,SD12,Wasat Al Gedaref,SD12081,18480,3653
Kassala,SD11,Halfa Aj Jadeedah,SD11052,43345,8663
Kassala,SD11,Madeinat Kassala,SD11053,57192,11463
Kassala,SD11,Reifi Aroma,SD11055,720,144
Kassala,SD11,Reifi Kassla,SD11056,2545,504
Kassala,SD11,Reifi Khashm Elgirba,SD11060,8184,1636
Kassala,SD11,Reifi Nahr Atbara,SD11062,2391,474
