adm1+name,adm1+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,298674,59489
Blue Nile,SD08,52794,10527
Central Darfur,SD06,287095,57419
East Darfur,SD05,500515,100083
Gedaref,SD12,252824,50518
Kassala,SD11,102777,20552
Khartoum,SD01,60100,12392
North Darfur,SD02,329645,65809
North Kordofan,SD13,90168,17681
Northern,SD17,364378,73384
Red Sea,SD10,108420,21671
River Nile,SD16,512755,101376
Sennar,SD14,327091,64729
South Darfur,SD03,490153,98029
South Kordofan,SD07,84899,16637
West Darfur,SD04,100335,20067
West Kordofan,SD18,46231,8944
White Nile,SD09,286238,57271
