adm1+name,adm1+pcode,affected+idps+ind,affected+idps+hh
Aj Jazirah,SD15,445565,86383
Blue Nile,SD08,56682,11328
Central Darfur,SD06,354795,70959
East Darfur,SD05,602455,120471
Gedaref,SD12,275286,54831
Kassala,SD11,115857,23181
Khartoum,SD01,41538,8100
North Darfur,SD02,430048,85979
North Kordofan,SD13,119734,23409
Northern,SD17,353203,71262
Red Sea,SD10,129785,25965
River Nile,SD16,611892,122120
Sennar,SD14,348979,69698
South Darfur,SD03,680523,136103
South Kordofan,SD07,101971,19859
West Darfur,SD04,120640,24128
West Kordofan,SD18,74122,14606
White Nile,SD09,430547,85330
