Year,month,Departament,Municipality,IDPs
2008,January,Tolima,Villahermosa,0
2008,January,Chocó,Istmina,199
2008,January,Arauca,Arauca,0
2008,January,Nariño,Samaniego,225
2008,January,Cauca,Páez (Belalcazar),418
2008,January,Cauca,Páez (Belalcazar),418
2008,February,Nariño,Samaniego,0
2008,February,Valle del Cauca,San Pedro,800
2008,February,Antioquia,Valdivia,350
2008,February,Antioquia,Nechí,500
2008,February,Chocó,Quibdó,300
2008,February,Antioquia,Tarazá,3500
2008,February,Antioquia,Tarazá,0
2008,February,Córdoba,Puerto Libertador,0
2008,February,Córdoba,Tierralta,0
2008,March,Nariño,Córdoba,0
2008,March,Meta,Mapiripan,0
2008,March,Meta,Mapiripan,0
2008,March,Chocó,Istmina,500
2008,March,Magdalena,Santa Marta,1
2008,March,Antioquia,Nechí,320
2008,March,Meta,Mapiripan,93
2008,March,Chocó,Bajo Baudó (Pizarro),313
2008,March,Cauca,Toribío,0
2008,March,Antioquia,Ituango,0
2008,March,Arauca,Arauca,0
2008,March,Nariño,Córdoba,52
2008,March,Córdoba,Puerto Libertador,300
2008,March,Córdoba,Puerto Libertador,1
2008,March,Antioquia,Ituango,0
2008,March,Cauca,López (Micay),25
2008,March,Bolivar,Simití,0
2008,April,Santander,Barrancabermeja,0
2008,April,Nariño,La Llanada,22
2008,April,Antioquia,Dabeiba,30
2008,April,Antioquia,Dabeiba,30
2008,April,Antioquia,Tarazá,500
2008,April,Guaviare,San José del Guaviare,0
2008,April,Cauca,Argelia,0
2008,April,Nariño,Mosquera,300
2008,May,Chocó,Bajo Baudó (Pizarro),0
2008,May,Chocó,Medio Baudó,0
2008,May,Chocó,Bagadó,0
2008,May,Tolima,Venadillo,0
2008,May,Norte de Santander,Tibú,0
2008,May,Putumayo,Puerto Asís,150
2008,May,Tolima,Ibagué,40
2008,May,Cesar,Valledupar,1
2008,May,Nariño,Policarpa,0
2008,May,Putumayo,San Miguel,3
2008,May,Putumayo,San Miguel,9
2008,May,Putumayo,San Miguel,2
2008,May,Nariño,Cumbitara,0
2008,May,Vichada,La Primavera,0
2008,June,Antioquia,Zaragoza,527
2008,June,Antioquia,Zaragoza,0
2008,June,Antioquia,Murindó,17
2008,June,Antioquia,Chigorodó,84
2008,June,Nariño,Olaya Herrera,0
2008,June,Magdalena,Santa Marta,400
2008,June,Chocó,El Litoral de San Juan,0
2008,June,Chocó,El Litoral de San Juan,0
2008,June,Santander,Barrancabermeja,0
2008,June,Córdoba,Tierralta,0
2008,June,Nariño,Barbacoas,0
2008,June,Chocó,Bagadó,200
2008,July,Córdoba,Tierralta,135
2008,July,Nariño,Mosquera,0
2008,July,Antioquia,San Rafael,0
2008,July,Antioquia,Anorí,5
2008,July,Antioquia,Valdivia,702
2008,July,Antioquia,Valdivia,1217
2008,July,Antioquia,Valdivia,1102
2008,July,Nariño,Ipiales,60
2008,July,Nariño,Barbacoas,110
2008,July,Arauca,Tame,0
2008,July,Norte de Santander,El Tarra,0
2008,July,Chocó,Alto Baudó (Pie de Pato),0
2008,August,Chocó,Bajo Baudó (Pizarro),0
2008,August,Chocó,Alto Baudó (Pie de Pato),0
2008,August,Chocó,Alto Baudó (Pie de Pato),300
2008,August,Nariño,Policarpa,0
2008,August,Cauca,López (Micay),0
2008,August,Meta,Mapiripan,84
2008,August,Chocó,Medio Baudó,0
2008,August,Córdoba,Tierralta,0
2008,September,Chocó,Bajo Baudó (Pizarro),70
2008,September,Córdoba,Puerto Libertador,0
2008,September,Guaviare,San José del Guaviare,0
2008,September,Antioquia,Anorí,1800
2008,September,Antioquia,Anorí,900
2008,September,Tolima,Mariquita,0
2008,September,Antioquia,Anorí,0
2008,September,Cauca,Timbiquí,0
2008,September,Cauca,Timbiquí,0
2008,September,Antioquia,Urrao,285
2008,September,Antioquia,Urrao,300
2008,September,Cauca,Timbiquí,0
2008,September,Valle del Cauca,Buenaventura,0
2008,September,Santander,Vélez,0
2008,October,Putumayo,Villagarzón,280
2008,October,Bolivar,Santa Rosa,0
2008,October,Meta,Mapiripan,200
2008,October,Antioquia,Tarazá,61
2008,October,Nariño,Roberto Payán (San José),0
2008,October,Putumayo,Puerto Asís,0
2008,October,Valle del Cauca,Buenaventura,60
2008,October,Valle del Cauca,Buenaventura,4069
2008,November,Antioquia,Tarazá,0
2008,November,Chocó,Bahía Solano (Mútis),0
2008,November,Antioquia,Apartadó,0
2008,November,Putumayo,Puerto Leguízamo,0
2008,November,Antioquia,Zaragoza,0
